elapsed_s,total_sent_bytes,total_recv_bytes,delta_sent_bps,delta_recv_bps,delta_total_bps,delta_sent_gbps,delta_recv_gbps,delta_total_gbps,uploaded_bytes,uploaded_gbps_from_callback
47.066523,113908962274,1452758636069,82955959.169,98446023.732,181401982.901,0.082955959,0.098446024,0.181401983,169461027,0.100521985
47.316928,113911993042,1452761695027,96827592.906,97728212.764,194555805.670,0.096827593,0.097728213,0.194555806,172606755,0.100500358
47.567253,113915064461,1452764754387,98157891.472,97772504.127,195930395.599,0.098157891,0.097772504,0.195930396,174703907,0.067021796
47.817575,113917668604,1452767817730,83225238.411,97900711.101,181125949.512,0.083225238,0.097900711,0.181125950,177849635,0.100533635
48.067925,113919922060,1452770886830,72009925.298,98074096.735,170084022.033,0.072009925,0.098074097,0.170084022,179946787,0.067015180
48.318227,113922129185,1452773954293,70542856.743,98040483.876,168583340.619,0.070542857,0.098040484,0.168583341,182043939,0.067027963
48.568538,113923505795,1452777023155,43996712.417,98081402.040,142078114.457,0.043996712,0.098081402,0.142078114,182043939,0.000000000
48.818847,113923578343,1452780095516,2318672.402,98194280.489,100512952.891,0.002318672,0.098194280,0.100512953,182179535,0.004333720
49.069164,113923647803,1452783172794,2219904.921,98348179.884,100568084.804,0.002219905,0.098348180,0.100568085,182179535,0.000000000
49.319506,113923723659,1452786248015,2424077.133,98272686.464,100696763.597,0.002424077,0.098272686,0.100696764,182179535,0.000000000
49.569861,113923868773,1452789330854,4637061.925,98510931.744,103147993.669,0.004637062,0.098510932,0.103147994,182179535,0.000000000
49.820216,113923942718,1452792411937,2362881.344,98454710.114,100817591.458,0.002362881,0.098454710,0.100817591,182250774,0.002276412
50.070552,113924015076,1452795489781,2312346.347,98358734.773,100671081.120,0.002312346,0.098358735,0.100671081,182250774,0.000000000
50.320895,113925881109,1452798570452,59631350.320,98446582.468,158077932.789,0.059631350,0.098446582,0.158077933,185396502,0.100525558
50.571223,113928938370,1452801634653,97704265.226,97926054.468,195630319.694,0.097704265,0.097926054,0.195630320,187493654,0.067021002
50.821590,113931552762,1452804701117,83537867.639,97982958.849,181520826.489,0.083537868,0.097982959,0.181520826,190549748,0.097651605
51.071924,113933812623,1452807770639,72219018.566,98093584.653,170312603.219,0.072219019,0.098093585,0.170312603,192646900,0.067019281
51.322256,113936005951,1452810838857,70093321.511,98052635.420,168145956.931,0.070093322,0.098052635,0.168145957,194744052,0.067019775
51.572600,113938277061,1452813907489,72575793.890,98061478.112,170637272.002,0.072575794,0.098061478,0.170637272,196841204,0.067016777
51.822947,113940507780,1452816976749,71284099.314,98080230.931,169364330.245,0.071284099,0.098080231,0.169364330,198938356,0.067015878
52.073285,113942350942,1452820044061,58901394.994,98021202.521,156922597.515,0.058901395,0.098021203,0.156922598,199986932,0.033509040
52.323638,113942462614,1452823117740,3568465.684,98219052.527,101787518.211,0.003568466,0.098219053,0.101787518,199986932,0.000000000
52.573960,113942581776,1452826193265,3808282.131,98290284.668,102098566.799,0.003808282,0.098290285,0.102098567,199986932,0.000000000
52.824290,113942706914,1452829273989,3999136.851,98453202.685,102452339.537,0.003999137,0.098453203,0.102452340,199986932,0.000000000
53.074619,113942827380,1452832352749,3849838.467,98390655.283,102240493.750,0.003849838,0.098390655,0.102240494,199986932,0.000000000
53.324953,113942950408,1452835432994,3931648.492,98436458.437,102368106.929,0.003931648,0.098436458,0.102368107,199986932,0.000000000
53.575274,113943084376,1452838512444,4281477.521,98416009.440,102697486.962,0.004281478,0.098416009,0.102697487,199986932,0.000000000
53.825608,113943251654,1452841591435,5345753.325,98396240.849,103741994.174,0.005345753,0.098396241,0.103741994,199986932,0.000000000
54.075955,113943425292,1452844668200,5548729.190,98320274.170,103869003.360,0.005548729,0.098320274,0.103869003,199986932,0.000000000
54.326278,113943598140,1452847744828,5523999.412,98325067.482,103849066.894,0.005523999,0.098325067,0.103849067,199986932,0.000000000
